name,total,deaths,code,AirQuality,WaterSanitation,AirPollution,Emissions,iso,Country
Afghanistan,8145,187,AFG,44.67,25.75,91.44,33.04,AFG,Afghanistan
Albania,964,31,ALB,65.47,66.56,86.07,68.36,ALB,Albania
Algeria,7542,568,ALG,93.98,60.26,46.15,26.94,DZA,Algeria
Andorra,762,51,AND,44.66,9.2,57.92,48.86,AGO,Angola
Angola,52,3,AGO,89.13,53.33,46.94,11.26,ATG,Antigua and Barbuda
Anguilla,3,,AIA,84.57,73.07,19.51,46.65,ARG,Argentina
Antigua and Barbuda,25,3,ATG,53.55,61.94,66.93,49.82,ARM,Armenia
Argentina,9283,403,ARG,100,98.44,38.85,48.18,AUS,Australia
Armenia,5606,70,ARM,82.21,94.63,86.31,62.79,AUT,Austria
Aruba,101,3,ABW,47.44,48.53,95.36,73.44,AZE,Azerbaijan
Australia,7081,100,AUS,84.19,55.4,10.6,18.76,BHS,Bahamas
Austria,16353,633,AUT,67.81,63.06,59.38,44.31,BHR,Bahrain
Azerbaijan,3631,43,AZE,4.12,28.47,40.22,46.95,BGD,Bangladesh
Bahamas,97,11,BHS,100,55.64,40.21,34.57,BRB,Barbados
Bahrain,7888,12,BHR,69.71,68.66,72.33,64.73,BLR,Belarus
Bangladesh,26738,386,BGD,88.63,96.09,79.02,63.81,BEL,Belgium
Barbados,90,7,BRB,74.73,46.74,39.57,45.03,BLZ,Belize
Belarus,32426,179,BLR,50.66,6.37,25.05,34.35,BEN,Benin
Belgium,55983,9150,BEL,36.89,32.6,48.28,43.76,BTN,Bhutan
Belize,18,2,BLZ,70.92,44.57,38.72,33.49,BOL,Bolivia
Benin,130,2,BEN,60.37,71.54,30.79,26.8,BIH,Bosnia and Herzegovina
Bermuda,125,9,BMU,43.33,21.8,42.46,47.24,BWA,Botswana
Bhutan,21,,BTN,78.78,45.91,37.55,33.24,BRA,Brazil
Bolivia,4919,199,BOL,98.76,94.9,2.51,27.42,BRN,Brunei Darussalam
Bosnia and Herzegovina,2338,136,BIH,68.49,71.26,52.91,56.04,BGR,Bulgaria
Botswana,29,1,BWA,61.85,8.45,28.47,26.24,BFA,Burkina Faso
Brazil,293357,18894,BRA,36.92,0.86,38.18,16.18,BDI,Burundi
British Virgin Islands,8,1,VGB,41.91,35.26,37.52,47.63,KHM,Cambodia
Brunei,141,1,BRN,50.54,13.45,33.71,58.53,CMR,Cameroon
Bulgaria,2331,120,BGR,99.28,94.69,44.25,39.88,CAN,Canada
Burkina Faso,809,52,BFA,70.81,40.66,72.99,69.56,CPV,Cabo Verde
Burundi,42,1,BDI,42.93,0,40.31,17.55,CAF,Central African Republic
Cabo Verde,349,3,CPV,60.82,0.32,78.57,49.62,TCD,Chad
Cambodia,122,,KHM,69.22,79.61,3.37,37.37,CHL,Chile
Cameroon,3733,146,CMR,14.39,68.24,57.08,68.62,CHN,China
Canada,80142,6031,CAN,77.01,59.96,56.76,50.1,COL,Colombia
CAR,418,,CAF,64.38,10,30.02,49.44,COM,Comoros
Caribbean Netherlands,6,,CNE,84.43,62.78,58.15,59.29,CRI,Costa Rica
Cayman Islands,111,1,CYM,53.88,9.53,51.38,38.57,CIV,CÃ´te d'Ivoire
Chad,565,57,TCD,64.07,70.01,43.23,54.41,HRV,Croatia
Channel Islands,558,45,CHI,86.47,57.5,75.32,49.15,CUB,Cuba
Chile,53617,544,CHL,87.5,92.35,49.65,66.26,CYP,Cyprus
China,82967,4634,CHN,65.77,69.98,57.07,54.65,CZE,Czech Republic
Colombia,17687,630,COL,22.57,10.01,40.16,34.26,COD,Dem. Rep. Congo
Comoros,34,1,COM,99.16,97.78,71,67.56,DNK,Denmark
Congo,420,15,COG,69.73,19.3,11.01,46.4,DJI,Djibouti
Costa Rica,897,10,CRI,80.39,50.64,31.59,51.78,DMA,Dominica
Croatia,2234,96,HRV,77.96,42.4,65.46,61.27,DOM,Dominican Republic
Cuba,1900,79,CUB,82.97,52.2,25.92,46.8,ECU,Ecuador
Curaçao,16,1,CUR,88.88,32.78,47.55,55.68,EGY,Egypt
Cyprus,922,17,CYP,76.15,42.34,28.11,63.47,SLV,El Salvador
Czechia,8721,304,CZE,57.18,31.89,99.97,70.08,GNQ,Equatorial Guinea
Denmark,11117,554,DNK,64.88,7.09,43.47,29.57,ERI,Eritrea
Djibouti,1828,9,DJI,78.87,58.45,54.29,33.62,EST,Estonia
Dominica,16,,DMA,43.66,9.35,37.81,64.18,ETH,Ethiopia
Dominican Republic,13477,446,DOM,70.36,39.93,17.73,56.91,FJI,Fiji
DRC,1731,61,DRC,99,100,49.1,62.33,FIN,Finland
Ecuador,34854,2888,ECU,95.97,97.22,96.82,70.46,FRA,France
Egypt,14229,680,EGY,51.5,22.23,53.75,30.71,GAB,Gabon
El Salvador,1571,32,SLV,63.14,16.8,41.36,36.67,GMB,Gambia
Equatorial Guinea,890,7,GNQ,54.93,59.93,48.55,48.41,GEO,Georgia
Eritrea,39,,ERI,84.09,96.74,93.3,55.47,DEU,Germany
Estonia,1794,64,EST,52.37,26.52,40.5,57.59,GHA,Ghana
Eswatini,217,2,ESW,89.23,100,46.41,42.17,GRC,Greece
Ethiopia,389,5,ETH,82.88,48.26,30.55,21.61,GRD,Grenada
Faeroe Islands,187,,FRO,68.3,29.5,30.23,57.46,GTM,Guatemala
Falkland Islands,13,,FLK,60.77,12.79,31.6,37.24,GIN,Guinea
Fiji,18,,FJI,60.5,10.01,32.8,53.23,GNB,Guinea-Bissau
Finland,6443,304,FIN,75.49,38.67,32.14,34.82,GUY,Guyana
France,181575,28132,FRA,62.21,15.45,20.76,42.53,HTI,Haiti
French Guiana,237,1,GUF,68.9,34.06,17.68,46.02,HND,Honduras
French Polynesia,60,,PYF,52.3,66.26,75.22,61.68,HUN,Hungary
Gabon,1567,12,GAB,98.55,100,49.11,61.96,ISL,Iceland
Gambia,24,1,GMB,5.75,15.8,37.49,44.77,IND,India
Georgia,721,12,GEO,52.04,31.41,47.62,53.43,IDN,Indonesia
Germany,178531,8270,DEU,85.12,58.74,20.07,35.93,IRN,Iran
Ghana,6269,31,GHA,72.91,41.05,36.33,19.73,IRQ,Iraq
Gibraltar,149,,GIB,95.78,100,87.23,54.16,IRL,Ireland
Greece,2850,166,GRC,95.67,92.03,75.82,57.09,ISR,Israel
Greenland,11,,GRL,80.56,100,88.55,65.14,ITA,Italy
Grenada,22,,GRD,78.74,51.04,21.03,52.26,JAM,Jamaica
Guadeloupe,155,13,GLP,90.78,96.6,72.34,45.08,JPN,Japan
