code,iso,Country,EPIcurrent,EPI.baseline,HLT.current,HLT.baseline,AIRcurrent,AIR.baseline,H2O.current,H2O.baseline,HMT.current,HMT.baseline,ECO.current,ECO.baseline,BDH.current,BDH.baseline,FRT.current,FRT.baseline,FSH.current,FSH.baseline,CCE.current,CCE.baseline,APE.current,APE.baseline,WRS.current,WRS.baseline,AGR.current,AGR.baseline,HAD.current,HAD.baseline,PME.current,PME.baseline,PMW.current,PMW.baseline,USD.current,USD.baseline,UWD.current,UWD.baseline,PBD.current,PBD.baseline,MPA.current,MPA.baseline,TBN.current,TBN.baseline,TBG.current,TBG.baseline,SPI.current,SPI.baseline,PAR.current,PAR.baseline,SHI.current,SHI.baseline,TCL.current,TCL.baseline,FSS.current,FSS.baseline,MTR.current,MTR.baseline,DCT.current,DCT.baseline,DPT.current,DPT.baseline,DMT.current,DMT.baseline,DNT.current,DNT.baseline,DBT.current,DBT.baseline,DST.current,DST.baseline,DXT.current,DXT.baseline,WWT.current,WWT.baseline,SNM.current,SNM.baseline
4,AFG,Afghanistan,37.74,31.44,36.76,36.18,44.67,49.52,25.75,13.33,0,0,38.4,28.28,13.44,13.1,99.07,45.15,,,33.04,27.6,91.44,71.44,0,0,44.77,44.77,0,0,71.78,81.08,77.11,83.97,24.88,12.8,26.62,13.86,0,0,,,0.61,0.07,1.26,0.18,3.07,2.59,7,4.44,90.6,94.7,99.07,45.15,,,,,23.47,24.81,,,53.62,28.79,50.1,35.49,67.66,54.01,82.88,66.05,100,76.83,0,0,44.77,44.77
8,ALB,Albania,65.46,56.27,65.67,64.71,65.47,65.78,66.56,63.52,62.89,57.85,65.32,50.65,75.37,44.34,23.36,25.31,58.25,82.73,68.36,54.17,86.07,33.09,80.73,80.73,22.61,22.61,30.95,19.1,88.9,100,88.08,93.8,67.15,63.22,65.97,63.81,62.89,57.85,86.85,77.71,94.46,34.25,94.07,30.62,32.09,12.04,56.94,40.56,81.81,93.64,23.36,25.31,54.73,65.46,61.77,100,53.77,32.28,100,100,73.3,64.46,63.65,49.38,72.61,53.39,83.25,35.32,88.9,30.87,80.73,80.73,22.61,22.61
12,DZA,Algeria,57.18,58.46,80.95,72.15,93.98,84.66,60.26,52.36,35.6,28.24,41.34,49.33,49.33,49.49,9.96,23.49,44.39,55.06,26.94,39.8,46.15,62.85,91.6,91.6,34.26,34.26,87.42,62.16,100,100,96.72,99.33,64.36,54.42,56.17,50.29,35.6,28.24,57.46,57.34,43.41,43.33,46.6,46.31,53.93,52.58,10.06,4.46,80.45,91.36,9.96,23.49,28.21,98.37,60.58,11.75,17.14,53.06,46.35,46.35,37.76,0.07,23.99,32.62,6.93,47.22,83.63,64.36,8.68,61.34,91.6,91.6,34.26,34.26
24,AGO,Angola,37.44,34.12,33.79,32.64,44.66,47.62,9.2,0,40.08,33.77,39.88,35.1,39.19,39.56,21.76,38.1,63.2,72.26,48.86,30.42,57.92,39.11,0,0,22.7,22.7,14.77,4.14,60.72,73,68.46,80.22,9.42,0,8.99,0,40.08,33.77,23.48,23.48,34.14,34.14,37.07,37.07,34.63,34.58,45.09,40.37,88.18,96.67,21.76,38.1,88.05,69.25,38.35,75.28,55,35.63,40.18,40.18,36.11,4.83,63.78,34.38,58.16,37.75,59.85,39.1,55.99,39.13,0,0,22.7,22.7
28,ATG,Antigua and Barbuda,59.18,56.26,76.53,73.37,89.13,85.04,53.33,52.99,52.04,43.88,47.61,44.85,88.49,53.63,,,58.51,76.59,11.26,28.83,46.94,38.44,64.44,64.44,7.26,7.26,72.82,62.61,100,100,100,100,54.69,54.12,51.96,51.87,52.04,43.88,70.01,60.44,100,34.3,100,61.22,,,79.39,63.53,,,,,57.88,80.41,59.13,72.77,0,29.78,,,22.94,15.97,85.88,50.83,47.5,45.02,46.86,42.86,47.03,34.02,64.44,64.44,7.26,7.26
32,ARG,Argentina,59.3,55.11,79.88,74.05,84.57,80.14,73.07,64.65,59.78,51.22,45.58,42.48,55.64,53.98,7.51,10.09,42.26,75.88,46.65,21.48,19.51,32,72.13,72.13,70.69,70.69,65.25,53.56,100,100,94.9,95.72,76.24,65.52,69.9,63.79,59.78,51.22,89.14,81.01,43.46,39.69,55.09,52.15,44.35,43.48,23.41,16.45,68.93,90.76,7.51,10.09,18.56,85.17,65.95,66.59,38.63,30.36,22.41,22.41,80.79,0,70.48,0,63.43,36.3,0.07,28.02,38.95,35.98,72.13,72.13,70.69,70.69
51,ARM,Armenia,62.07,64.26,56.85,52.34,53.55,52.26,61.94,51.01,69.06,61.34,65.56,72.2,79.57,78.46,73.6,55.04,,,49.82,69.91,66.93,87.81,84.51,84.51,33.19,33.19,36.71,24.16,60.04,65.84,69.52,76.15,58.86,48.72,65.02,53.3,69.06,61.34,,,99.99,99.99,100,100,58.27,53.64,27.75,22.35,92.27,98.03,73.6,55.04,,,,,47.73,72.02,49.82,49.82,50.83,78.83,52.35,63.39,64.18,100,97.85,100,36,75.63,84.51,84.51,33.19,33.19
36,AUS,Australia,74.12,70.94,97.95,96,100,97.51,98.44,99.31,68.34,56.47,58.23,54.24,84.64,71.72,10.54,12.85,58.48,60.89,48.18,44.6,38.85,37.23,99.44,99.44,37.79,37.79,100,93.76,100,100,100,100,100,100,96.88,98.62,68.34,56.47,100,98.64,83.66,59.12,77.19,61.26,89.41,77.97,58.72,27.2,87.12,96.06,10.54,12.85,16.96,63.48,100,58.3,48.06,42.68,45.12,45.12,49.6,41.69,44.46,45.21,59.69,72.7,35.8,20.11,41.89,54.35,99.44,99.44,37.79,37.79
40,AUT,Austria,78.97,74.12,86.38,83.96,82.21,81.4,94.63,89.85,91.08,81.95,74.03,67.57,91.69,90.28,27.6,23.31,,,62.79,51.51,86.31,69.8,99.08,99.08,71.34,71.34,86.88,76.51,77.05,84.52,81.13,84.78,90.4,85.54,98.85,94.16,91.08,81.95,,,100,100,100,100,77.44,77.44,94.06,76.45,84.54,90.91,27.6,23.31,,,,,49.89,29.64,65.06,65.06,99,94.98,49.55,44.64,51.13,49.09,92.29,86.43,80.33,53.17,99.08,99.08,71.34,71.34
31,AZE,Azerbaijan,62.33,60.11,48.55,45.86,47.44,49.77,48.53,36.01,63.09,54.09,71.52,69.62,63.15,56.23,74.2,53.84,,,73.44,78.75,95.36,99.99,76.03,76.03,39.76,39.76,30.57,20.78,53.14,66.1,64.22,72.11,45.77,33.48,51.28,38.54,63.09,54.09,,,50.68,42.67,61.95,51.97,83.61,74.91,16.85,11.77,95.91,98.94,74.2,53.84,,,,,99.99,100,37.47,37.47,31.35,66.57,93.74,83.28,100,75.58,93.51,100,97.21,99.98,76.03,76.03,39.76,39.76
44,BHS,Bahamas,54.99,62.67,73.68,72.33,84.19,81.96,55.4,56.62,46.81,41.34,42.52,56.23,86.22,83.74,16.44,29.18,58.04,66.68,18.76,52.7,10.6,30.69,64.44,64.44,7.72,7.72,60.47,54.91,100,100,100,100,57.13,58.61,53.67,54.63,46.81,41.34,78.71,77.94,99.41,99.13,99.42,99.15,65.69,65.69,76.36,53.88,99.39,99.7,16.44,29.18,67.96,93.98,48.12,39.38,0,46.13,,,63.15,65.36,98.53,95.8,24.02,50.84,16.38,31.52,4.82,29.87,64.44,64.44,7.72,7.72
48,BHR,Bahrain,55.15,47.94,65.28,58.12,67.81,59.5,63.06,59.62,45.62,31.28,48.41,41.15,33.26,30.75,,,45.54,51.98,44.31,39.15,59.38,9.41,96.54,96.54,36.22,36.22,73.54,57.03,62.48,56.8,65.5,65.5,66.5,62.41,59.62,56.83,45.62,31.28,83.47,82.1,15.84,12.63,15.84,12.63,,,2.53,0.55,,,,,70.67,81.6,20.4,22.36,29.21,35.58,35.85,35.85,63,21.94,100,97.71,98.66,98.33,84.45,0.09,34.32,18.73,96.54,96.54,36.22,36.22
50,BGD,Bangladesh,29.56,27.64,11.96,7.21,4.12,2.01,28.47,17.93,14.72,10.53,41.29,41.26,53.58,52.58,12.13,32.54,66.86,63.67,46.95,38.15,40.22,51.65,0,0,37.82,37.82,10.31,5.01,0,0,0,0,28.02,17.42,28.92,18.45,14.72,10.53,94.02,90.86,19.35,17.96,81.37,81.05,23.58,21.22,6.54,4.65,92.57,98.94,12.13,32.54,98.13,99.49,35.58,27.84,44.11,39.12,31.44,31.44,65.32,40.57,64.09,37.08,46.83,46.62,52.91,56.87,27.53,46.42,0,0,37.82,37.82
