State,EPI Ranking,Environmental Performance Index,Environmental Health,Ecosystem Vitality
Afghanistan,168,37.74,36.76,38.40
Albania,40,65.46,65.67,65.32
Algeria,88,57.18,80.95,41.34
Angola,170,37.44,33.79,39.88
Antigua and Barbuda,76,59.18,76.53,47.61
Argentina,74,59.30,79.88,45.58
Armenia,63,62.07,56.85,65.56
Australia,21,74.12,97.95,58.23
Austria,8,78.97,86.38,74.03
Azerbaijan,59,62.33,48.55,71.52
Bahamas,98,54.99,73.68,42.52
Bahrain,96,55.15,65.28,48.41
Bangladesh,179,29.56,11.96,41.29
Barbados,93,55.76,84.73,36.45
Belarus,44,64.98,69.55,61.94
Belgium,15,77.38,89.37,69.39
Belize,81,57.79,65.09,52.93
Benin,167,38.17,36.36,39.37
Bhutan,131,47.22,35.27,55.18
Bolivia,92,55.98,61.64,52.21
Bosnia and Herzegovina,158,41.84,63.87,27.15
Botswana,113,51.70,37.19,61.37
Brazil,69,60.70,67.44,56.21
Brunei Darussalam,53,63.57,96.66,41.52
Bulgaria,30,67.85,69.60,66.68
Burkina Faso,154,42.83,44.22,41.91
Burundi,180,27.43,25.69,28.59
Cabo Verde,89,56.94,60.90,54.30
Cambodia,150,43.23,39.81,45.51
Cameroon,161,40.81,39.18,41.90
Canada,25,72.18,97.51,55.29
Central African Republic,171,36.42,29.16,41.26
Chad,137,45.34,41.36,47.99
Chile,84,57.49,73.73,46.66
China,120,50.74,31.72,63.42
Colombia,42,65.22,71.05,61.33
Comoros,146,44.24,47.06,42.37
Costa Rica,30,67.85,76.44,62.13
Côte d'Ivoire,139,45.25,39.55,49.05
Croatia,41,65.45,67.04,64.39
Cuba,55,63.42,75.76,55.20
Cyprus,24,72.60,87.96,62.37
Czech Republic,33,67.68,68.69,67.01
Dem. Rep. Congo,178,30.41,19.70,37.56
Denmark,3,81.60,98.20,70.53
Djibouti,163,40.04,52.89,31.47
Dominica,73,59.38,69.45,52.67
Dominican Republic,46,64.71,64.86,64.61
Ecuador,87,57.42,72.58,47.31
Egypt,66,61.21,68.61,56.28
El Salvador,106,53.91,63.99,47.19
Equatorial Guinea,71,60.40,49.66,67.55
Eritrea,165,39.34,46.12,34.81
Estonia,48,64.31,73.24,58.35
Ethiopia,141,44.78,32.80,52.77
Fiji,107,53.09,61.70,47.35
Finland,10,78.64,99.35,64.83
France,2,83.95,95.71,76.11
Gabon,140,45.05,43.04,46.39
Gambia,156,42.42,47.99,38.72
Georgia,94,55.69,57.10,54.75
Germany,13,78.37,88.68,71.50
